recipe_id,recipe,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
180,Chocolate Chip Belgian Waffles,5 mins,10 mins,15 mins,3,480,27g,52g,10g
181,Waterzooi (Vaterzoy),15 mins,1 hr,1 hr 15 mins,6,341,24g,7g,23g
182,Booyah Chicken,20 mins,2 hrs 30 mins,2 hrs 50 mins,12,664,35g,28g,56g
183,Brazilian Lemonade,10 mins,N/A,10 mins,4,152,1g,36g,1g
184,Brigadeiro,15 mins,10 mins,25 mins,20,70,2g,11g,2g
185,Caipirinha,5 mins,N/A,5 mins,1,N/A,N/A,N/A,N/A
186,Mom's Stovetop Pork Ribs,20 mins,40 mins,1 hr,6,461,32g,11g,34g
187,Feijoada (Brazilian Black Bean Stew),8 hrs 30 mins,2 hrs 30 mins,11 hrs,8,381,18g,31g,24g
188,Coconut Coconut Milk Cake,15 mins,45 mins,1 hr,24,241,15g,26g,3g
189,Brazilian Chicken with Coconut Milk,15 mins,30 mins,45 mins,4,345,20g,12g,29g
190,Brazilian White Rice,15 mins,30 mins,45 mins,8,201,4g,38g,3g
191,Fried Sweet Bananas,10 mins,5 mins,15 mins,6,169,6g,31g,1g
192,Vinagrete (Brazilian Tomato Slaw),35 mins,N/A,3 hrs 35 mins,8,93,7g,7g,1g
193,Beijinho de Coco (Coconut Little Kiss),30 mins,20 mins,2 hrs 50 mins,10,152,5g,24g,3g
194,Brazilian Style Flan (Pudim de Leite Condensado),20 mins,55 mins,3 hrs 15 mins,8,303,7g,53g,8g
195,Brazilian Fish Stew,20 mins,25 mins,1 hr 5 mins,6,359,22g,16g,27g
196,Chef John's Brazilian Fish Stew,12 mins,20 mins,32 mins,6,399,19g,33g,26g
197,Pork and Black Bean Stew,20 mins,40 mins,1 hr,4,482,27g,27g,33g
198,Brazilian Black Bean Stew,15 mins,30 mins,45 mins,6,508,15g,71g,23g
199,Sweet Cornmeal Cake Brazilian-Style,10 mins,30 mins,40 mins,8,508,18g,79g,8g
200,Brazilian Passion Fruit Mousse (Maracuja),15 mins,1 hr,1 hr 15 mins,6,515,35g,45g,7g
201,Tender Juicy Skirt Steak (Churrasco),15 mins,43 mins,8 hrs 58 mins,4,204,12g,9g,16g
202,Churrascaria-Style Picanha,15 mins,15 mins,1 hr,5,143,8g,2g,16g
203,Brazilian Carrot Cake,20 mins,40 mins,1 hr,12,529,23g,78g,6g
204,Chef John's Pão de Queijo (Brazilian Cheese Bread),10 mins,25 mins,45 mins,24,109,6g,11g,2g
205,Easy Brazilian Black Bean Stew,15 mins,20 mins,35 mins,8,117,1g,19g,8g
206,Brazilian-Style Beef Ribs,10 mins,6 hrs,6 hrs 20 mins,3,698,57g,N/A,44g
207,Chef John's Brazilian Feijoada,30 mins,4 hrs 45 mins,13 hrs 15 mins,6,720,36g,54g,45g
208,Coxinhas (Brazilian Chicken Croquettes),1 hr,1 hr,2 hrs,20,167,8g,19g,5g
209,Moqueca de Peixe Baiana (Brazilian Fish Stew),25 mins,25 mins,1 hr 20 mins,4,454,34g,16g,25g
210,Brazilian Cheese Rolls (Pão de Queijo),20 mins,15 mins,50 mins,14,199,12g,17g,6g
211,Air Fryer Pão de Queijo,15 mins,10 mins,25 mins,20,97,6g,9g,3g
212,Bolo de Leite Condensado (Brazilian Condensed Milk Cake),10 mins,40 mins,50 mins,10,351,8g,63g,8g
213,Easy Brazilian Spiced Salmon,5 mins,15 mins,20 mins,4,223,11g,10g,22g
214,Black Beans with Bacon,30 mins,40 mins,13 hrs 30 mins,6,381,24g,28g,13g
215,Salpicao de Frango (Brazilian Chicken Salad),30 mins,N/A,30 mins,8,355,19g,31g,17g
216,Brazilian Coffee Cookies,30 mins,10 mins,40 mins,48,49,2g,8g,1g
217,Brazilian Quentao,5 mins,25 mins,30 mins,8,N/A,N/A,N/A,N/A
218,Brazilian Collard Greens (Couve a Mineira),15 mins,30 mins,45 mins,4,129,10g,6g,5g
219,Canjica (Brazilian Hominy Pudding),5 mins,1 hr 20 mins,9 hrs 25 mins,10,528,26g,66g,10g
220,Quindim,10 mins,30 mins,1 hr 10 mins,8,187,7g,30g,2g
221,Pan de Queso (Brazilian Cheese Buns),20 mins,25 mins,55 mins,24,69,4g,8g,2g
222,Bolo de Fuba Cremoso (Creamy Cornmeal Cake),10 mins,30 mins,40 mins,8,532,22g,76g,12g
223,Caipirinha Cocktail,5 mins,N/A,5 mins,1,165,0g,11g,1g
224,Brazilian-Style Moist Coconut Cake,20 mins,40 mins,4 hrs,12,540,17g,90g,10g
225,Cocada (Brazilian Coconut Sweet),5 mins,20 mins,55 mins,20,155,11g,14g,3g
226,Brazilian Bom-Bocado (Egg Custard),10 mins,10 mins,40 mins,12,147,7g,19g,4g
227,Quick Blender Carrot Cake,10 mins,30 mins,40 mins,10,518,24g,70g,7g
228,Brazilian Banana Bread,25 mins,35 mins,1 hr,12,355,5g,74g,6g
229,Brazilian Whole Banana Pie,20 mins,45 mins,1 hr 5 mins,12,451,11g,83g,11g
230,Brazilian Style Chocolate Pudding,5 mins,10 mins,20 mins,10,163,5g,24g,5g
231,Brazilian Chicken Stew (Galinha Ensopada),10 mins,1 hr 15 mins,1 hr 25 mins,4,425,26g,9g,37g
232,Brazilian Sweet Banana and Rice Dish,20 mins,1 hr 50 mins,2 hrs 10 mins,6,932,15g,178g,24g
233,Feijoada,45 mins,5 hrs,5 hrs 45 mins,6,683,39g,44g,40g
234,Brazilian Collards,10 mins,2 hrs,2 hrs 10 mins,6,269,19g,10g,15g
235,Brazilian-Style Carrot Cake with Chocolate Sauce,20 mins,43 mins,1 hr 8 mins,10,438,16g,72g,6g
236,Brazilian Peanut Fudge,10 mins,N/A,25 mins,12,306,15g,38g,8g
237,Brazilian Broa (Corn Bread),10 mins,10 mins,20 mins,24,117,3g,22g,2g
238,Brigadeiro Chocolate Delights,10 mins,15 mins,1 hr 25 mins,25,97,4g,15g,2g
239,Refreshing Brazilian Lemonade,10 mins,N/A,10 mins,6,145,3g,28g,3g
240,Feijoada Nordestino (Northeastern Brazilian Black Bean Stew),30 mins,1 hr 15 mins,1 hr 50 mins,6,467,12g,77g,12g
241,Brigadeiro Dessert,5 mins,10 mins,1 hr 15 mins,8,338,21g,32g,8g
242,Pao de Queijo (Brazilian Cheese Bread),20 mins,30 mins,1 hr,48,74,3g,10g,1g
243,Instant Pot Bobo de Frango (Brazilian Chicken Stew),20 mins,1 hr,1 hr 25 mins,6,514,30g,38g,23g
244,Brazilian Crispy Cheese Bread,15 mins,30 mins,45 mins,6,257,13g,29g,8g
245,Bolo Facil de Fuba Cremoso (Easy Creamy Cornmeal Cake),5 mins,45 mins,50 mins,12,338,5g,69g,6g
246,Espetinho de Queijo Coalho Com Abacaxi (Brazilian Grilled Cheese with Pineapple),15 mins,5 mins,20 mins,15,83,4g,10g,3g
247,Copycat Wingstop Cajun Corn,10 mins,15 mins,25 mins,8,185,16g,12g,2g
248,Air Fryer Po' Boy,25 mins,10 mins,35 mins,6,655,22g,74g,39g
249,Crawfish Salad,15 mins,N/A,15 mins,4,171,6g,9g,19g
250,Cajun Cashews,10 mins,22 mins,32 mins,4,483,41g,24g,11g
251,5-Ingredient Cajun Pasta,5 mins,20 mins,25 mins,4 to 6,849,67g,39g,24g
252,Cajun Chicken and Sausage Gumbo,45 mins,2 hrs 30 mins,3 hrs 15 mins,10,480,40g,15g,16g
253,Chef John's Chicken Lazone,10 mins,20 mins,1 hr 30 mins,4,411,25g,6g,39g
254,Etouffee vs. Gumbo: What’s the Difference?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
255,Sheet Pan Cajun Butter Shrimp,15 mins,8 mins,23 mins,6,339,23g,2g,31g
256,Good New Orleans Creole Gumbo,1 hr,2 hrs 40 mins,3 hrs 40 mins,20,283,17g,12g,21g
257,Best Jambalaya,20 mins,45 mins,1 hr 5 mins,6,465,20g,42g,28g
258,Authentic Louisiana Red Beans and Rice,25 mins,3 hrs 5 mins,11 hrs 30 mins,8,630,24g,79g,24g
259,Cajun Seasoning Spice Mix,5 mins,N/A,5 mins,12,6,0g,1g,0g
260,Creole Seasoning Blend,5 mins,N/A,5 mins,20,16,0g,3g,1g
261,Deep-Fried Turkey,30 mins,45 mins,1 hr 25 mins,16,603,34g,2g,69g
