recipe_id,Title,Cuisine,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
828,Greek-Style Potatoes,Greek,20 mins,1 hr 30 mins,1 hr 50 mins,4,418.0,19g,59g,7g
829,Greek Couscous Salad,Greek,20 mins,5 mins,45 mins,3,254.0,6g,42g,9g
830,Greek Orzo Salad,Greek,15 mins,10 mins,1 hr 25 mins,6,393.0,13g,57g,14g
831,Vegetarian Moussaka,Greek,30 mins,1 hr 35 mins,2 hrs 35 mins,8,240.0,12g,26g,10g
832,Real Hummus,Greek,15 mins,,15 mins,20,54.0,3g,7g,2g
833,Greek Salad,Greek,20 mins,,20 mins,6,265.0,22g,14g,6g
834,Greek Tzatziki,Greek,15 mins,,15 mins,40,22.0,1g,2g,1g
836,My Own Famous Stuffed Grape Leaves,Greek,45 mins,1 hr 15 mins,2 hrs 30 mins,12,303.0,19g,31g,4g
837,Dolmas (Stuffed Grape Leaves),Greek,30 mins,45 mins,1 hr 30 mins,8,207.0,4g,39g,5g
838,Galaktoboureko,Greek,1 hr 40 mins,50 mins,2 hrs 30 mins,16,367.0,14g,52g,8g
839,Greek Garbanzo Bean Salad,Greek,10 mins,,2 hrs 10 mins,8,214.0,12g,26g,5g
840,Beef Stifado in the Slow Cooker,Greek,15 mins,6 hrs 10 mins,6 hrs 25 mins,6,378.0,16g,21g,31g
841,Cucumber Gyro Sauce,Greek,15 mins,,1 hr 15 mins,12,43.0,4g,1g,1g
842,Halloumi Cheese Fingers,Greek,5 mins,5 mins,10 mins,2,299.0,25g,3g,18g
843,Greek-Style Garlic Chicken Breasts,Greek,10 mins,10 mins,8 hrs 20 mins,4,644.0,58g,4g,28g
844,Loukoumades,Greek,10 mins,15 mins,1 hr 30 mins,25,167.0,7g,24g,3g
845,Black Bean Hummus,Greek,5 mins,,5 mins,8,73.0,2g,10g,4g
846,Rizogalo (Greek Rice Pudding),Greek,5 mins,40 mins,5 hrs 15 mins,6,176.0,3g,31g,4g
847,Easy Tzatziki Sauce,Greek,10 mins,,10 mins,8,36.0,3g,2g,2g
848,Mediterranean Orzo Salad,Greek,20 mins,15 mins,55 mins,6,418.0,27g,35g,11g
849,Greek Honey Cake,Greek,20 mins,55 mins,1 hr 15 mins,12,423.0,19g,62g,5g
850,Briam (Greek Baked Zucchini and Potatoes),Greek,30 mins,1 hr 30 mins,2 hrs,4,534.0,28g,66g,11g
851,Vasilopita - Greek New Years Cake,Greek,30 mins,1 hr,1 hr 30 mins,12,447.0,20g,61g,8g
853,Lamb (Gosht) Biryani,Indian,25 mins,1 hr,1 hr 25 mins,8,544.0,25g,64g,17g
854,Mixed Vegetable Curry,Indian,15 mins,40 mins,55 mins,4,244.0,10g,34g,6g
855,Carrot Halwa,Indian,30 mins,1 hr 15 mins,1 hr 45 mins,12,288.0,15g,34g,7g
856,One Pot Turmeric Chicken and Rice,Indian,20 mins,40 mins,1 hr,4,453.0,11g,28g,59g
857,Slow Cooker Butter Chicken,Indian,15 mins,4 hrs 15 mins,4 hrs 30 mins,6,501.0,37g,19g,30g
858,Roscoe's Chicken 65,Indian,20 mins,5 mins,25 mins,8,394.0,14g,38g,31g
859,Shrimp Biryani,Indian,20 mins,45 mins,1 hr 5 mins,6,294.0,15g,25g,15g
860,Golden Butter Rice,Indian,5 mins,20 mins,35 mins,8,161.0,12g,13g,1g
861,Paneer,Indian,30 mins,20 mins,2 hrs 50 mins,6,421.0,18g,38g,27g
862,My Mango Lassi,Indian,10 mins,,10 mins,2,228.0,10g,24g,12g
863,Chickpea Tikka Masala,Indian,15 mins,20 mins,35 mins,4,485.0,10g,80g,22g
864,Air Fryer Samosas,Indian,25 mins,25 mins,50 mins,12,141.0,3g,20g,7g
865,Chicken Bhuna,Indian,20 mins,40 mins,1 hr,4,183.0,9g,16g,12g
866,Lamb Rogan Josh,Indian,30 mins,1 hr 15 mins,1 hr 45 mins,4,343.0,16g,14g,37g
867,Keema Aloo (Ground Beef and Potatoes),Indian,20 mins,55 mins,1 hr 20 mins,8,362.0,18g,23g,26g
868,Tandoori Chicken,Indian,25 mins,20 mins,7 hrs 5 mins,4,356.0,19g,14g,36g
869,Green Onion Garlic Naan Bread,Indian,20 mins,3 mins,38 mins,6,282.0,5g,53g,10g
870,Chef John's Mulligatawny Soup,Indian,30 mins,1 hr 10 mins,1 hr 40 mins,6,263.0,9g,29g,18g
871,Butter Chicken (Murgh Makhani),Indian,20 mins,40 mins,1 hr,4,552.0,38g,22g,33g
872,Quick Whole Wheat Chapati,Indian,10 mins,10 mins,20 mins,8,127.0,1g,27g,5g
873,Gajar Ka Halwa (Carrot Halwa),Indian,10 mins,1 hr 30 mins,1 hr 40 mins,8,459.0,14g,80g,9g
874,Easy Garam Masala,Indian,5 mins,,5 mins,12,6.0,0g,1g,0g
875,Indian Chapati Bread,Indian,15 mins,10 mins,30 mins,10,110.0,3g,18g,3g
876,Kheer (Rice Pudding),Indian,5 mins,30 mins,35 mins,4,513.0,33g,48g,11g
877,Indian Style Basmati Rice,Indian,,35 mins,50 mins,6,216.0,5g,39g,4g
878,Easy Indian Butter Chicken,Indian,15 mins,45 mins,1 hr,6,880.0,82g,13g,26g
879,Naan,Indian,30 mins,20 mins,2 hrs 30 mins,14,52.0,4g,4g,1g
880,Indian Chicken Curry,Indian,20 mins,25 mins,45 mins,4,313.0,22g,14g,19g
881,Easy Curry Sauce,Indian,15 mins,30 mins,45 mins,8,75.0,6g,6g,2g
882,Mulligatawny Soup,Indian,20 mins,1 hr,1 hr 20 mins,6,223.0,16g,14g,7g
884,Chili Garlic (Homemade) Paneer,Indian,30 mins,20 mins,6 hrs,4,413.0,23g,36g,18g
885,Chicken Makhani (Indian Butter Chicken),Indian,10 mins,25 mins,35 mins,4,408.0,28g,16g,23g
886,Chicken Tikka Masala,Indian,30 mins,50 mins,2 hrs 20 mins,4,404.0,29g,13g,25g
887,Authentic Saag Paneer,Indian,15 mins,45 mins,1 hr,4,299.0,20g,18g,17g
