recipe_id,Title,Cuisine,prep_time,cook_time,total_time,servings,calories,fat,carbs,protein
140,Best Hawaiian Banana Nut Bread,Australian and New Zealander,30 mins,1 hr 10 mins,2 hrs 10 mins,12,441.0,24g,54g,5g
141,Nada's Baba Cake,Australian and New Zealander,30 mins,1 hr,1 hr 30 mins,12,208.0,5g,37g,4g
142,Australian-Style Pumpkin Scones,Australian and New Zealander,15 mins,15 mins,30 mins,12,128.0,2g,26g,3g
143,Australian Federation Biscuits,Australian and New Zealander,20 mins,10 mins,30 mins,50,93.0,4g,13g,1g
144,Frozen Lemon Pavlova,Australian and New Zealander,30 mins,15 mins,3 hrs,8,476.0,17g,77g,8g
145,Honeycomb with Golden Syrup,Australian and New Zealander,5 mins,15 mins,35 mins,10,101.0,,26g,
146,Hawaiian Chocolate Macadamia Nut Tart,Australian and New Zealander,10 mins,58 mins,1 hr 8 mins,10,707.0,43g,82g,7g
147,Crispy Ginger Biscuits,Australian and New Zealander,25 mins,10 mins,35 mins,24,124.0,4g,21g,1g
149,Dumplings and Cocky's Joy (Caramel Sauce),Australian and New Zealander,35 mins,10 mins,45 mins,4,556.0,25g,78g,7g
150,Anzac Biscuits III,Australian and New Zealander,15 mins,15 mins,30 mins,24,129.0,7g,17g,1g
152,German Wiener Schnitzel,Austrian,20 mins,15 mins,35 mins,8,435.0,12g,51g,27g
153,Strudel Dough,Austrian,45 mins,,1 hr 45 mins,36,49.0,2g,7g,1g
154,Sacher Torte,Austrian,1 hr,55 mins,2 hrs 55 mins,12,470.0,23g,63g,7g
155,Austrian Linzer Torte,Austrian,30 mins,45 mins,2 hrs 15 mins,12,473.0,29g,48g,8g
156,Viennese Crescent Holiday Cookies,Austrian,15 mins,10 mins,1 hr 25 mins,48,95.0,5g,11g,1g
157,Potato Plum Dumplings,Austrian,35 mins,20 mins,2 hrs 55 mins,12,326.0,10g,53g,7g
158,Vanille Kipferl II,Austrian,30 mins,10 mins,1 hr 25 mins,30,109.0,6g,12g,2g
160,Viennese Chocolate-Nut Cake,Austrian,20 mins,1 hr,1 hr 30 mins,10,512.0,33g,51g,6g
161,Austrian Jam Cookies,Austrian,,,,36,88.0,4g,13g,1g
162,Chocolate Black Tea Cake,Austrian,20 mins,1 hr,1 hr 20 mins,12,421.0,24g,49g,7g
163,Austrian Peach Cookies II,Austrian,1 hr,20 mins,1 hr 20 mins,6,937.0,31g,156g,12g
164,Linzer Cookie Bars,Austrian,20 mins,35 mins,2 hrs,16,228.0,13g,25g,5g
165,Linzer Cookies,Austrian,20 mins,10 mins,2 hrs,32,82.0,3g,13g,1g
166,Linzer Tart Cookies,Austrian,45 mins,10 mins,2 hrs 15 mins,12,442.0,30g,40g,7g
167,Kaiserschmarren – Austrian Torn Pancakes,Austrian,,,,1 portion,768.0,35g,86g,24g
168,Apple Strudel II,Austrian,1 hr 30 mins,1 hr,2 hrs 30 mins,12,620.0,29g,87g,7g
169,Italian Capezzoli di Venere (Chocolate Truffles of Venus),Austrian,1 hr 30 mins,,2 hrs,60,99.0,5g,12g,1g
170,Linzer Torte Cookies,Austrian,,,,38,114.0,5g,17g,1g
171,Authentic Bangladeshi Beef Curry,Bangladeshi,30 mins,1 hr 45 mins,2 hrs 15 mins,6,320.0,23g,9g,20g
172,Butter Lamb Gravy,Bangladeshi,25 mins,35 mins,1 hr,6,321.0,22g,8g,23g
173,Bengali Dhal,Bangladeshi,15 mins,30 mins,45 mins,4,224.0,4g,34g,13g
174,Machhere Jhol (Bengali Fish Curry),Bangladeshi,10 mins,20 mins,30 mins,4,367.0,18g,6g,45g
175,Egg and Potato Curry,Bangladeshi,25 mins,30 mins,55 mins,2,671.0,39g,56g,27g
176,Prawn Malai Curry,Bangladeshi,20 mins,20 mins,40 mins,4,343.0,21g,14g,25g
177,Gulab Jamun or Kala Jam (Waffle Balls),Bangladeshi,10 mins,17 mins,1 hr 17 mins,12,187.0,5g,36g,1g
179,Spicy Potato Noodles (Bataka Sev),Bangladeshi,45 mins,40 mins,1 hr 25 mins,8,336.0,18g,35g,9g
180,Chocolate Chip Belgian Waffles,Belgian,5 mins,10 mins,15 mins,3,480.0,27g,52g,10g
181,Waterzooi (Vaterzoy),Belgian,15 mins,1 hr,1 hr 15 mins,6,341.0,24g,7g,23g
182,Booyah Chicken,Belgian,20 mins,2 hrs 30 mins,2 hrs 50 mins,12,664.0,35g,28g,56g
183,Brazilian Lemonade,Brazilian,10 mins,,10 mins,4,152.0,1g,36g,1g
184,Brigadeiro,Brazilian,15 mins,10 mins,25 mins,20,70.0,2g,11g,2g
185,Caipirinha,Brazilian,5 mins,,5 mins,1,,,,
186,Mom's Stovetop Pork Ribs,Brazilian,20 mins,40 mins,1 hr,6,461.0,32g,11g,34g
187,Feijoada (Brazilian Black Bean Stew),Brazilian,8 hrs 30 mins,2 hrs 30 mins,11 hrs,8,381.0,18g,31g,24g
188,Coconut Coconut Milk Cake,Brazilian,15 mins,45 mins,1 hr,24,241.0,15g,26g,3g
189,Brazilian Chicken with Coconut Milk,Brazilian,15 mins,30 mins,45 mins,4,345.0,20g,12g,29g
190,Brazilian White Rice,Brazilian,15 mins,30 mins,45 mins,8,201.0,4g,38g,3g
191,Fried Sweet Bananas,Brazilian,10 mins,5 mins,15 mins,6,169.0,6g,31g,1g
192,Vinagrete (Brazilian Tomato Slaw),Brazilian,35 mins,,3 hrs 35 mins,8,93.0,7g,7g,1g
